Batch,Loss,Accuracy
1007,0.0890111,0.750847
1008,0.0670102,0.750981
1009,0.0768732,0.751117
1010,0.0709102,0.751255
1011,0.0614636,0.751408
1012,0.0663771,0.751546
1013,0.0880678,0.75169
1014,0.0635782,0.75182
1015,0.0625449,0.751955
1016,0.0902828,0.752076
1017,0.0802929,0.752206
1018,0.066538,0.752367
1019,0.0738016,0.752517
1020,0.0713282,0.752654
1021,0.0851767,0.752784
1022,0.1017,0.752917
1023,0.0623235,0.753076
1024,0.0660371,0.753201
1025,0.0537971,0.753344
1026,0.0734155,0.753486
1027,0.0819335,0.753636
1028,0.0591941,0.753773
1029,0.0914444,0.753901
1030,0.0652966,0.754046
1031,0.0582288,0.754182
1032,0.0556774,0.754325
1033,0.0631468,0.75446
1034,0.0902545,0.75461
1035,0.0421133,0.75463
1036,0.0615324,0.75478
1037,0.0673307,0.754917
1038,0.063131,0.755066
1039,0.064052,0.755197
1040,0.0581657,0.755356
1041,0.0670865,0.755492
1042,0.0729099,0.75562
1043,0.0655298,0.755758
1044,0.0538421,0.755908
1045,0.0511044,0.756061
1046,0.0592535,0.756192
1047,0.0790298,0.756324
1048,0.0751263,0.756446
1049,0.0570945,0.756594
1050,0.0614864,0.756722
1051,0.0694342,0.756858
1052,0.0693467,0.757004
1053,0.0608511,0.757145
1054,0.047972,0.757288
1055,0.0637766,0.757415
1056,0.0643472,0.757559
1057,0.0620057,0.7577
1058,0.0466464,0.757824
1059,0.0739858,0.757958
1060,0.0655656,0.758093
1061,0.0588986,0.758238
1062,0.0544076,0.758367
1063,0.0555764,0.758487
1064,0.0486985,0.758639
1065,0.062798,0.758803
1066,0.0619497,0.758943
1067,0.0602706,0.759068
1068,0.0755519,0.759212
1069,0.0652625,0.759357
1070,0.052939,0.759497
1071,0.0777414,0.759619
1072,0.106272,0.759641
1073,0.0589285,0.759794
1074,0.0569763,0.759931
1075,0.0674693,0.760081
1076,0.0590082,0.760216
1077,0.0531847,0.760356
1078,0.0782355,0.760478
1079,0.0613067,0.760622
1080,0.0699502,0.760774
1081,0.045448,0.760907
1082,0.0489295,0.761039
1083,0.052703,0.761151
1084,0.0454311,0.761272
1085,0.054178,0.761409
1086,0.0431333,0.761542
1087,0.0521471,0.761677
1088,0.062862,0.761823
1089,0.0503074,0.761984
1090,0.0504658,0.762121
1091,0.0625281,0.76226
1092,0.0402947,0.762397
1093,0.056822,0.762532
1094,0.0673722,0.762669
1095,0.0497419,0.762788
1096,0.0644099,0.76293
1097,0.0639338,0.763062
1098,0.0533765,0.763203
1099,0.0660937,0.763339
1100,0.0438409,0.763468
1101,0.0548601,0.763604
1102,0.0689853,0.763746
1103,0.0497493,0.763876
1104,0.0378558,0.763999
1105,0.0611376,0.764127
1106,0.0625847,0.76425
